City;Title;Description;Type;Comments;lat;lng
Tokio;無印良品 東京ミッドタウン;;Compras;Mujirushi store Roppongi. Tienda de ropa estilo japonés;35.6653959;139.7269688
Tokio;無印良品 新宿靖国通り;;Compras;Mujirushi store Shinjuku. Tienda de ropa estilo japonés;35.6926117;139.7034019
Tokio;MUJI - Ginza Flagship Store;;Compras;Mujirushi store Ginza. Tienda de ropa estilo japonés;35.673214;139.7653677
Tokio;MUJI - Tokyo Dome LaQua Store;;Compras;Mujirushi store Akihabara. Tienda de ropa estilo japonés;35.7071164;139.7535411
Tokio;BicCamera AKIBA Store;;Compras;Tienda de tecnología;35.7075434;139.751073
Gifu;Yakibuta Ramen Sanjou;;Comida;Restaurante old school de Ramen de cerdo;35.3490764;136.6937065
Osaka;OSAKA Kiichi-seiniku/yakiniku;;Comida;BBQ Japonesa wagyu;34.7440409;135.6012592
Osaka;MY NEIGHBOR;;Comida;Sandwiches wagyu;34.6833606;135.4888506
Tokio;Santuario Suga;;Spots;Escaleras Your Name;35.6853586;139.7224904
Tokio;ATOM SHIBUYA;;Ocio;Night Club (que no midnight club);35.6583059;139.6954048
Tokio;warp shinjuku;;Ocio;Night Club (que no midnight club);35.6952253;139.701307
Tokio;TK NIGHTCLUB;;Ocio;Night Club (que no midnight club);35.6609411;139.6985674
Kioto;Adashino Nenbutsu-ji Temple;;Visitas;Bosque de bambú, como en Arashiyama pero menos turístico;35.0269658;135.6655837
Kobe;うどん屋 浦商;;Comida;Restaurante de un hombre mayor;34.7629991;135.1208221
Tokio;Thrift Mall Minami Machida;;Compras;Mercadillo estilo camello;35.5143136;139.4742489
Osaka;Ramen Chonmage Osaka Tenroku;;Comida;Restaurante Ramen;34.7090709;135.5125765
Kioto;Hiyoshi Taisha Shrine Seven Willow Torii Gates;;Templos;;35.057648;135.8711389
Tokio;元祖油堂 歌舞伎町店;;Comida;Restaurante ramen barato en Shinjuku;35.6942932;139.7033726
Tokio;Kappabashi Kitchen Street;;Compras;Calle comercial de utensilios de cocina;35.7105797;139.785546
Hiroshima;Shukkeien Garden;;Spots;Parque en Hiroshima;34.4004834;132.4677207
Hiroshima;Hiroshima Castle;;Visitas;Castillo de las ruinas de Hiroshima;34.4027456;132.4591055
Hiroshima;Okonomimura;;Comida;;34.3908411;132.4633949
Osaka;Tori Soba ZAGIN Main Shop;;Comida;Mejor ramen de Osaka según los locales;34.6896133;135.4950563
Osaka;Kani Doraku Dotombori Honten;;Comida;Street food;34.6687993;135.5014873
Osaka;Takoyaki Kukuru Dotonbori;;Comida;Street food;34.6687946;135.5009642
Tokio;Pokémon Center Tokyo DX;;Compras;Centros pokémon hazte con todos;35.6802902;139.7742695
Tokio;Pokemon Center Mega Tokyo;;Compras;Centros pokémon hazte con todos;35.7289056;139.7193245
Tokio;Pokemon Center Shibuya;;Compras;Centros pokémon hazte con todos;35.6619557;139.6984408
Tokio;Pokémon Center Skytree Town;;Compras;Centros pokémon hazte con todos;35.7103448;139.8126119
Tokio;Pokémon Center Tokyo Bay;;Compras;Centros pokémon hazte con todos;35.6866032;139.9890362
Tokio;Pokémon Store Narita Airport Shop;;Compras;Centros pokémon hazte con todos;35.7630474;140.3845772
Tokio;Pokémon Store Tokyo Station Shop;;Compras;Centros pokémon hazte con todos;35.6825031;139.7687128
Nagoya;Pokémon Center Nagoya;;Compras;Centros pokémon hazte con todos;35.1635585;136.9081238
Kioto;Pokemon Center Kyoto;;Compras;Centros pokémon hazte con todos;35.0034167;135.7583839
Osaka;Pokémon Center Osaka;;Compras;Centros pokémon hazte con todos;34.7018525;135.4965591
Osaka;Pokemon Center Osaka DX;;Compras;Centros pokémon hazte con todos;34.6731719;135.5007545
Hiroshima;Pokémon Center Hiroshima;;Compras;Centros pokémon hazte con todos;34.3976899;132.476111
Tokio;MONHAN SAKABA - HUNTERS BAR in Akihabara TOKYO;;Comida;Monster Hunter Bar;35.6978007;139.7703246
Osaka;HUNTERS BAR in Namba OSAKA;;Comida;Monster Hunter Bar;34.6685144;135.5040986
Osaka;Yakiniku Hanamichi;;Comida;Buffet libre Wagyu;34.6696723;135.5019261
Osaka;Airbnb Osaka;;Alojamiento;;34.6614722;135.5101389
Miyajima;iwaso;;Alojamiento;;34.2948667;132.3203386
Kioto;Airbnb kioto;;Alojamiento;;34.9778333;135.7663333
Nagoya;Airbnb Nagoya;;Alojamiento;;35.1767222;136.87075
Tokio;Airbnb tokio;;Alojamiento;;35.7341111;139.8497222
Kioto;Kyoto Sento Imperial Palace;;Visitas;Palacio imperial de Kioto. Cerrado los lunes. Necesario aplicar formulario.;35.0223443;135.7625594
Kioto;Kyoto Gyoen National Garden;;Visitas;Jardines del palacio imperial;35.0231034;135.7627611
Kioto;Kitano Tenmangu Shrine;;Templos;Primer torii de Japón;35.0311737;135.7351227
Kioto;Shōren-in Temple;;Templos;500 yenes, de 9:00 a 16:30;35.0073083;135.7831667
Kioto;Chion-in Temple;;Templos;9:00 - 15:50;35.0051988;135.7833827
Kioto;Shogunzuka Seiryuden;;Templos;9:00 - 16:30;34.9800291;135.785051
Kioto;Gion;;Visitas;Barrio de Geishas y Maikos;35.0044531;135.7788995
Kioto;Bishamondō Temple;;Templos;10:00 - 16:00. 800 yenes;35.0013626;135.81926
